evse_id,postal_cod,latitude,longitude,port_type,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10
109579.000000000000000,64120.000000000000000,39.129486000000000,-94.511536000000007,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
109665.000000000000000,64128.000000000000000,39.066147000000001,-94.543128999999993,Level 2,"64128",8600000US64128,"64128","7928289","21129"
109675.000000000000000,64120.000000000000000,39.128441000000002,-94.476601000000002,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
109689.000000000000000,64116.000000000000000,39.120990999999997,-94.588806000000005,Level 2,"64116",8600000US64116,"64116","28114226","1918265"
109691.000000000000000,64132.000000000000000,38.969588999999999,-94.555289999999999,Level 2,"64132",8600000US64132,"64132","26394362","82487"
109697.000000000000000,64132.000000000000000,39.007159999999999,-94.533821000000003,Level 2,"64132",8600000US64132,"64132","26394362","82487"
109733.000000000000000,64106.000000000000000,39.108863999999997,-94.580726999999996,Level 2,"64106",8600000US64106,"64106","3993364","159794"
109735.000000000000000,64105.000000000000000,39.100448999999998,-94.587654000000001,Level 2,"64105",8600000US64105,"64105","1950214","220454"
109741.000000000000000,64110.000000000000000,39.040348000000002,-94.571274000000003,Level 2,"64110",8600000US64110,"64110","7829737","0"
109757.000000000000000,64105.000000000000000,39.099598000000000,-94.589911999999998,Level 2,"64105",8600000US64105,"64105","1950214","220454"
109829.000000000000000,64108.000000000000000,39.079619999999998,-94.583968999999996,Level 2,"64108",8600000US64108,"64108","9405486","4803"
109835.000000000000000,64108.000000000000000,39.090645000000002,-94.582367000000005,Level 2,"64108",8600000US64108,"64108","9405486","4803"
109869.000000000000000,64105.000000000000000,39.105201999999998,-94.590698000000003,Level 2,"64105",8600000US64105,"64105","1950214","220454"
109873.000000000000000,64112.000000000000000,39.034652999999999,-94.594734000000003,Level 2,"64112",8600000US64112,"64112","3819791","0"
109881.000000000000000,64105.000000000000000,39.097828000000000,-94.584091000000001,Level 2,"64105",8600000US64105,"64105","1950214","220454"
109913.000000000000000,64127.000000000000000,39.078442000000003,-94.554787000000005,Level 2,"64127",8600000US64127,"64127","10838122","0"
109919.000000000000000,64108.000000000000000,39.086205000000000,-94.580132000000006,Level 2,"64108",8600000US64108,"64108","9405486","4803"
109921.000000000000000,64111.000000000000000,39.044846000000000,-94.580696000000003,Level 2,"64111",8600000US64111,"64111","7051166","0"
109985.000000000000000,64108.000000000000000,39.084541000000002,-94.576035000000005,Level 2,"64108",8600000US64108,"64108","9405486","4803"
109997.000000000000000,64108.000000000000000,39.085158999999997,-94.573470999999998,Level 2,"64108",8600000US64108,"64108","9405486","4803"
110073.000000000000000,64108.000000000000000,39.084778000000000,-94.573441000000003,Level 2,"64108",8600000US64108,"64108","9405486","4803"
110235.000000000000000,64130.000000000000000,39.037796000000000,-94.539337000000003,Level 2,"64130",8600000US64130,"64130","18655561","17491"
110237.000000000000000,64132.000000000000000,39.006252000000003,-94.529578999999998,Level 2,"64132",8600000US64132,"64132","26394362","82487"
110271.000000000000000,64131.000000000000000,38.989021000000001,-94.575569000000002,Level 2,"64131",8600000US64131,"64131","19261577","34078"
110275.000000000000000,64132.000000000000000,39.008316000000001,-94.531158000000005,Level 2,"64132",8600000US64132,"64132","26394362","82487"
110285.000000000000000,64106.000000000000000,39.100025000000002,-94.578856999999999,Level 2,"64106",8600000US64106,"64106","3993364","159794"
110289.000000000000000,64111.000000000000000,39.050322999999999,-94.595603999999994,Level 2,"64111",8600000US64111,"64111","7051166","0"
110295.000000000000000,64105.000000000000000,39.099575000000002,-94.586135999999996,Level 2,"64105",8600000US64105,"64105","1950214","220454"
110319.000000000000000,64108.000000000000000,39.070545000000003,-94.584023000000002,Level 2,"64111",8600000US64111,"64111","7051166","0"
110353.000000000000000,64108.000000000000000,39.073959000000002,-94.586662000000004,Level 2,"64108",8600000US64108,"64108","9405486","4803"
110415.000000000000000,64130.000000000000000,39.042319999999997,-94.531409999999994,Level 2,"64130",8600000US64130,"64130","18655561","17491"
110471.000000000000000,64108.000000000000000,39.082675999999999,-94.571944999999999,Level 2,"64108",8600000US64108,"64108","9405486","4803"
110477.000000000000000,64114.000000000000000,38.940109000000000,-94.588950999999994,Level 2,"64114",8600000US64114,"64114","18125338","6621"
110499.000000000000000,64133.000000000000000,39.052303000000002,-94.471985000000004,Level 2,"64133",8600000US64133,"64133","43132780","234135"
110503.000000000000000,64111.000000000000000,39.065060000000003,-94.583466000000001,Level 2,"64111",8600000US64111,"64111","7051166","0"
110507.000000000000000,64108.000000000000000,39.087798999999997,-94.560920999999993,Level 2,"64127",8600000US64127,"64127","10838122","0"
110509.000000000000000,64110.000000000000000,39.039028000000002,-94.566749999999999,Level 2,"64110",8600000US64110,"64110","7829737","0"
110511.000000000000000,64108.000000000000000,39.087859999999999,-94.594466999999995,Level 2,"64108",8600000US64108,"64108","9405486","4803"
110513.000000000000000,64127.000000000000000,39.088805999999998,-94.520187000000007,Level 2,"64127",8600000US64127,"64127","10838122","0"
112315.000000000000000,64157.000000000000000,39.268135000000001,-94.448668999999995,DC Fast,"64157",8600000US64157,"64157","28516017","52191"
112319.000000000000000,64112.000000000000000,39.042113999999998,-94.592140000000001,DC Fast,"64112",8600000US64112,"64112","3819791","0"
112351.000000000000000,64151.000000000000000,39.210788999999998,-94.642593000000005,DC Fast,"64151",8600000US64151,"64151","34104654","532083"
112355.000000000000000,64105.000000000000000,39.102542999999997,-94.584380999999993,DC Fast,"64105",8600000US64105,"64105","1950214","220454"
113013.000000000000000,64108.000000000000000,39.093330000000002,-94.586983000000004,Level 2,"64108",8600000US64108,"64108","9405486","4803"
